k,accuracy,precision,recall,f1
1,0.8288032454361055,0.44562334217506633,0.4409448818897638,0.4432717678100264
2,0.865314401622718,0.6601307189542484,0.2650918635170604,0.3782771535580524
3,0.8661257606490872,0.5962264150943396,0.4146981627296588,0.48916408668730654
4,0.8734279918864097,0.7142857142857143,0.30183727034120733,0.42435424354243545
5,0.8722109533468559,0.6571428571428571,0.36220472440944884,0.46700507614213194
6,0.8746450304259635,0.7337662337662337,0.29658792650918636,0.4224299065420561
7,0.8766734279918864,0.6974358974358974,0.3569553805774278,0.47222222222222227
8,0.875050709939148,0.7295597484276729,0.30446194225721784,0.42962962962962964
9,0.8746450304259635,0.6894736842105263,0.3438320209973753,0.4588441330998248
10,0.8754563894523326,0.75,0.29133858267716534,0.41965973534971646
11,0.8742393509127789,0.7052023121387283,0.32020997375328086,0.44043321299638993
12,0.8713995943204869,0.7162162162162162,0.2782152230971129,0.4007561436672968
13,0.8726166328600405,0.6982248520710059,0.30971128608923887,0.42909090909090913
14,0.8734279918864097,0.7412587412587412,0.2782152230971129,0.4045801526717558
15,0.8738336713995943,0.7215189873417721,0.2992125984251969,0.42300556586270877
16,0.8742393509127789,0.75177304964539,0.2782152230971129,0.40613026819923376
17,0.8742393509127789,0.7204968944099379,0.30446194225721784,0.4280442804428044
18,0.8754563894523326,0.7605633802816901,0.28346456692913385,0.41300191204588904
19,0.8774847870182556,0.7581699346405228,0.30446194225721784,0.43445692883895126
20,0.8766734279918864,0.7851851851851852,0.2782152230971129,0.4108527131782946
21,0.8787018255578093,0.777027027027027,0.30183727034120733,0.43478260869565216
22,0.8754563894523326,0.7983870967741935,0.25984251968503935,0.39207920792079204
23,0.8766734279918864,0.7894736842105263,0.2755905511811024,0.40856031128404674
24,0.8762677484787018,0.8114754098360656,0.25984251968503935,0.393638170974155
25,0.8766734279918864,0.7769784172661871,0.28346456692913385,0.4153846153846154
26,0.875050709939148,0.8016528925619835,0.2545931758530184,0.38645418326693226
27,0.8766734279918864,0.7894736842105263,0.2755905511811024,0.40856031128404674
28,0.8746450304259635,0.7903225806451613,0.2572178477690289,0.3881188118811882
29,0.8742393509127789,0.7795275590551181,0.25984251968503935,0.38976377952755903
30,0.8738336713995943,0.7916666666666666,0.24934383202099739,0.37924151696606784
